node_id,fma_id,canonical_name,side,region,segment,min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z
FJ3359,FMA24515,right fifth metatarsal bone,right,foot,foot_r,-0.152331,-0.069820,0.089382,-0.106458,-0.039879,0.155078,-0.129394,-0.054849,0.122230
FJ3360,FMA24497,right calcaneus,right,foot,foot_r,-0.100781,-0.068491,0.024005,-0.044876,-0.019155,0.094148,-0.072828,-0.043823,0.059077
FJ3361,FMA24446,right capitate,right,hand,hand_r,-0.264482,0.782191,0.110534,-0.248401,0.804597,0.127492,-0.256442,0.793394,0.119013
FJ3362,FMA13322,right clavicle,right,arm,shoulder_r,-0.145277,1.308620,0.054413,-0.009662,1.355440,0.146948,-0.077469,1.332030,0.100680
FJ3364,FMA24528,right cuboid bone,right,foot,foot_r,-0.115085,-0.051122,0.083733,-0.082367,-0.022088,0.116768,-0.098726,-0.036605,0.100250
FJ3365,FMA24474,right femur,right,leg,thigh_r,-0.150134,0.368150,0.049530,-0.031894,0.834252,0.112192,-0.091014,0.601201,0.080861
FJ3366,FMA24480,right fibula,right,leg,lower_leg_r,-0.120165,-0.025280,0.048487,-0.084345,0.359150,0.078169,-0.102255,0.166935,0.063328
FJ3367,FMA24448,right hamate,right,hand,hand_r,-0.251928,0.781293,0.111406,-0.236600,0.800653,0.133931,-0.244264,0.790973,0.122669
FJ3368,FMA23130,right humerus,right,arm,upper_arm_r,-0.240841,1.029200,0.051039,-0.140090,1.336540,0.100219,-0.190466,1.182870,0.075629
FJ3369,FMA54737,right inferior nasal concha,right,skull,skull,-0.016532,1.478520,0.129961,-0.006688,1.498480,0.166327,-0.011610,1.488500,0.148144
FJ3370,FMA24523,right intermediate cuneiform bone,right,foot,foot_r,-0.102007,-0.034437,0.109585,-0.081860,-0.011385,0.130534,-0.091933,-0.022911,0.120059
FJ3371,FMA53645,right lacrimal bone,right,skull,skull,-0.018042,1.501880,0.150947,-0.007486,1.527350,0.165510,-0.012764,1.514615,0.158228
FJ3373,FMA24525,right lateral cuneiform bone,right,foot,foot_r,-0.112875,-0.040564,0.100838,-0.087198,-0.014856,0.125232,-0.100037,-0.027710,0.113035
FJ3374,FMA24437,right lunate,right,hand,hand_r,-0.252724,0.797461,0.110635,-0.236202,0.809820,0.126924,-0.244463,0.803640,0.118780
FJ3375,FMA53649,right maxilla,right,skull,skull,-0.047611,1.463990,0.129374,-0.000251,1.533350,0.184029,-0.023931,1.498670,0.156701
FJ3377,FMA24521,right medial cuneiform bone,right,foot,foot_r,-0.094128,-0.045273,0.111982,-0.066004,-0.014230,0.140507,-0.080066,-0.029751,0.126245
FJ3378,FMA53647,right nasal bone,right,skull,skull,-0.009149,1.501170,0.169585,-0.000741,1.533190,0.190833,-0.004945,1.517180,0.180209
FJ3379,FMA53655,right palatine bone,right,skull,skull,-0.028810,1.470450,0.103313,0.000147,1.513340,0.149907,-0.014332,1.491895,0.126610
FJ3380,FMA52788,right parietal bone,right,skull,skull,-0.076189,1.517880,-0.014831,0.005002,1.636270,0.127886,-0.035593,1.577075,0.056527
FJ3381,FMA24486,right patella,right,leg,knee_r,-0.102288,0.361486,0.100992,-0.060621,0.400796,0.122727,-0.081454,0.381141,0.111860
FJ3382,FMA24441,right pisiform,right,hand,hand_r,-0.240220,0.789675,0.127249,-0.231956,0.801325,0.137658,-0.236088,0.795500,0.132454
FJ3383,FMA24435,right scaphoid,right,hand,hand_r,-0.273060,0.796354,0.111574,-0.249332,0.811790,0.126663,-0.261196,0.804072,0.119119
FJ3384,FMA13395,right scapula,right,arm,shoulder_r,-0.166464,1.183960,-0.005083,-0.057054,1.349860,0.102856,-0.111759,1.266910,0.048887
FJ3385,FMA24482,right talus,right,foot,foot_r,-0.090114,-0.031156,0.048754,-0.049627,0.003111,0.105569,-0.069870,-0.014023,0.077162
